Qty,Value,Vendor,Price
1,Arduino_Nano_v3.x,Amazon,13.99
1,Barrel_Jack_Switch,DK: CP-202A-ND,0.6
1,4-Wire Screw Terminal,DK: 277-5744-ND,2.58
2,10k,DK: CF18JT10K0,0.1
1,Rotary_Encoder_Switch,Amazon,7.99
1,Adafruit_AS7341,"Adafruit: 4698, DK: 1528-4698-ND",15.95
1,OLED,Amazon,11.99
1,LED_Strip_1m,Adafruit: 2239,29.95
2,0.1 uf,DK: BC1084TR-ND,0.23
1,100 uf,DK: 493-10478-1-ND,0.49
1,1000 uf,DK: 1189-4233-1-ND,0.52
1,JST SM 4 Wire connectors,Adafruit: 578,1.5
1,Barrel Power Supply,Amazon,12.99
1,6-Pin Socket,DK: PPPC061LFBN-RC,0.53
